id.eleve;classe.eleve;groupe;t0.bienetre.1;t0.bienetre.2;t0.bienetre.3;t0.bienetre.4;t0.bienetre.5;t0.bienetre.6;t0.bienetre.7;t0.bienetre.8;t0.bienetre.9;t0.bienetre.10;t0.bienetre.11;t0.bienetre.12;t0.bienetre.13;t0.bienetre.14;t0.bienetre.15;t0.bienetre.16;t0.bienetre.17;t0.bienetre.18;t0.bienetre.19;t0.bienetre.20;t0.bienetre.21;t0.bienetre.22;t0.bienetre.23;t0.bienetre.24;t0.bienetre.25;t0.bienetre.26;t0.bienetre.27;t0.bienetre.28;t0.bienetre.29;t0.bienetre.30;t0.bienetre.score.moyenne;t0.eng.1;t0.eng.2;t0.eng.3;t0.eng.4;t0.eng.5;t0.eng.6;t0.eng.7;t0.eng.8;t0.eng.9;t0.eng.10;t0.eng.11;t0.eng.12;t0.eng.13;t0.eng.14;t0.eng.15;t0.eng.16;t0.eng.17;t0.eng.18;t0.eng.19;t0.eng.20;t0.eng.21;t0.eng.22;t0.eng.23;t0.eng.24;t0.eng.25;t0.eng.score.moyenne;t0.sep.1;t0.sep.2;t0.sep.3;t0.sep.4;t0.sep.5;t0.sep.6;t0.sep.7;t0.sep.8;t0.sep.9;t0.sep.10;t0.sep.11;t0.sep.12;t0.sep.13;t0.sep.14;t0.sep.15;t0.sep.16;t0.sep.17;t0.sep.score.moyenne;t0.sep.score.général;t0.sep.score.francais;t0.sep.score.math
1CS;contrôle 1;1;2;6;5;6;5;1;5;5;6;6;6;5;3;2;6;2;5;6;4;6;5;1;5;5;4;5;6;2;5;4;4.466666667;4;5;4;5;5;1;4;5;5;4;1;5;3;5;3;4;3;4;4;3;5;4;5;4;4;3.846153846;5;2;5;6;6;5;4;4;4;5;6;6;5;6;4;6;6;5;4.833333333;4.833333333;5.4
2CS;contrôle 1;1;2;6;5;2;3;4;6;2;5;5;5;5;6;4;5;5;2;4;6;3;5;3;4;5;6;6;5;2;4;4;4.3;4;5;4;5;5;2;5;5;4;5;2;5;4;5;5;NA;4;3;3;4;5;4;5;5;4;4.12;6;3;5;5;6;5;6;5;5;5;6;6;6;5;5;5;6;5.294117647;5;5.5;5.4
3CS;contrôle 1;1;6;5;5;6;6;5;6;5;6;5;5;6;6;2;5;5;1;6;6;5;5;1;5;5;6;6;5;1;4;2;4.733333333;5;4;4;5;5;1;4;5;3;5;2;5;4;5;4;2;5;2;NA;2;5;5;5;3;4;3.8;5;4;4;3;6;5;5;5;5;5;5;5;5;5;5;6;6;4.941176471;4.5;5;5.4
4CS;contrôle 1;1;2;6;6;4;6;6;5;5;6;2;5;6;1;6;6;6;6;2;3;6;6;5;5;6;3;6;6;6;2;6;4.866666667;5;4;5;4;5;2;5;5;5;5;4;5;2;4;5;5;4;5;5;3;5;5;5;5;4;4.307692308;5;6;5;6;6;6;5;6;5;6;6;6;6;6;6;6;6;5.764705882;5.666666667;5.666666667;6
5CS;contrôle 1;1;2;6;6;1;6;1;5;6;6;1;5;6;5;1;6;3;2;4;5;5;6;4;4;1;5;6;5;1;5;1;4;4;4;4;4;3;1;5;5;4;4;1;5;4;5;4;2;5;5;4;4;5;5;5;5;2;3.846153846;5;5;4;4;5;5;6;6;6;6;6;5;5;4;3;4;4;4.882352941;4.666666667;5.833333333;4
6CS;contrôle 1;1;6;3;4;2;5;4;5;3;4;5;3;3;5;1;2;5;2;4;5;5;2;1;5;5;3;2;4;1;3;5;3.566666667;2;4;4;4;4;2;5;5;3;5;NA;5;5;5;4;4;1;4;1;2;3;2;4;4;4;3.48;4;4;5;3;5;5;6;6;6;5;6;6;4;5;3;5;6;4.941176471;4.333333333;5.833333333;4.6
7CS;contrôle 1;1;6;6;6;6;6;6;5;5;6;6;5;6;4;5;6;5;5;6;6;5;6;6;6;6;4;5;6;2;6;4;5.4;4;5;4;3;5;1;5;5;4;5;1;5;4;5;3;5;5;3;4;2;5;5;5;3;4;3.884615385;5;5;4;6;6;5;4;4;3;5;4;4;6;6;6;6;6;5;5.166666667;4;6
8CS;contrôle 1;1;6;5;6;5;5;1;5;3;6;5;6;6;5;6;6;6;3;5;1;5;6;6;1;5;5;6;6;6;6;6;4.966666667;5;4;4;5;4;4;5;4;4;4;1;4;5;4;3;5;5;1;5;2;5;5;4;1;5;3.807692308;6;6;5;6;5;6;6;5;5;5;5;5;5;5;6;5;6;5.411764706;5.666666667;5.166666667;5.4
9CS;contrôle 1;1;6;6;5;5;6;6;6;2;6;6;4;6;6;2;6;5;3;6;6;4;6;6;6;6;6;4;5;3;6;6;5.2;2;4;4;5;5;1;5;5;3;5;3;5;2;5;5;5;2;4;3;2;5;2;5;2;2;3.538461538;5;3;5;4;5;6;6;6;6;5;6;6;6;6;5;5;6;5.352941176;4.666666667;5.833333333;5.6
10CS;contrôle 1;1;4;3;5;3;3;3;6;1;6;6;3;6;4;5;3;2;2;5;5;5;5;4;3;1;5;5;5;5;3;1;3.9;4;5;3;2;5;1;4;5;3;5;1;5;4;4;5;4;4;1;2;1;5;4;5;1;4;3.384615385;5;4;5;4;5;5;4;4;5;5;5;5;4;4;3;4;5;4.470588235;4.666666667;4.666666667;4
