id.eleve;Pers?v?rance;sexe;age;degr?;classe.eleve;t2.bienetre.1;t2.bienetre.2;t2.bienetre.3;t2.bienetre.4;t2.bienetre.5;t2.bienetre.6;t2.bienetre.7;t2.bienetre.8;t2.bienetre.9;t2.bienetre.10;t2.bienetre.11;t2.bienetre.12;t2.bienetre.13;t2.bienetre.14;t2.bienetre.15;t2.bienetre.16;t2.bienetre.17;t2.bienetre.18;t2.bienetre.19;t2.bienetre.20;t2.bienetre.21;t2.bienetre.22;t2.bienetre.23;t2.bienetre.24;t2.bienetre.25;t2.bienetre.26;t2.bienetre.27;t2.bienetre.28;t2.bienetre.29;t2.bienetre.30;t2.bienetre.score.total;t0_BE;t1_BE
1LS;;m;10;7H;livret 1;6;6;5;1;6;5;4;5;6;4;6;6;5;2;6;1;3;5;6;6;6;5;6;6;5;6;5;1;5;6;145;149;148
2LS;;m;11;7H;livret 1;6;2;6;3;6;6;6;6;5;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;5;5;3;6;166;174;166
3LS;;m;10;7H;livret 1;6;6;5;1;6;1;2;6;6;1;6;6;5;1;6;1;1;1;6;6;6;4;5;6;5;1;1;1;2;6;116;129;105
4LS;;m;10;7H;livret 1;6;6;6;5;5;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;4;6;6;6;175;175;173
5LS;;m;11;7H;livret 1;6;4;4;1;5;6;5;3;6;4;4;6;4;5;5;3;1;5;5;5;5;2;4;5;5;4;5;1;6;6;130;113;111
7LS;;m;10;7H;livret 1;4;6;6;1;5;1;6;1;3;6;6;6;2;2;6;1;1;1;6;4;1;6;1;1;3;2;6;1;1;1;97;139;129
8LS;;f;11;7H;livret 1;6;5;5;6;6;6;6;6;5;6;4;6;6;3;6;4;5;6;5;6;5;6;4;6;6;5;6;6;6;5;163;139;142
9LS;;m;10;7H;livret 1;3;3;6;4;3;5;3;6;6;5;2;2;2;3;4;2;1;6;4;4;4;1;4;6;4;6;5;4;5;6;119;104;109
10LS;;f;10;7H;livret 1;4;6;4;2;6;2;3;6;3;5;6;5;5;2;6;4;5;2;5;6;6;3;6;1;4;5;2;3;3;4;124;113;127
11LS;;m;10;7H;livret 1;2;6;2;4;2;1;2;5;3;5;1;2;1;2;3;4;1;1;1;6;3;4;2;2;2;2;3;3;5;2;82;105;119
13LS;;m;11;7H;livret 1;3;6;3;3;5;3;4;5;4;4;5;5;3;1;6;5;2;4;2;4;1;3;5;6;5;3;4;2;4;6;116;110;134
14LS;;m;11;7H;livret 1;5;4;5;6;3;3;6;6;6;6;5;6;4;5;6;5;4;6;6;4;6;4;4;5;5;6;5;5;2;5;148;148;143
15LS;;f;11;7H;livret 1;5;6;5;1;6;4;6;6;6;6;5;6;5;5;6;2;5;6;5;6;5;1;5;6;5;6;6;1;5;6;148;151;131
16LS;;m;10;7H;livret 1;6;6;4;1;3;1;3;5;6;6;3;5;2;6;6;5;3;1;6;4;6;5;3;1;4;6;4;1;5;1;118;134;142
17LS;;m;11;7H;livret 1;6;6;6;2;4;2;6;5;6;6;3;6;5;3;6;2;3;6;6;4;5;4;6;6;5;3;4;1;5;6;138;153;150
18LS;;f;11;7H;livret 1;3;6;2;1;6;5;2;5;2;6;6;5;6;1;6;1;2;6;6;1;6;1;6;6;5;5;2;1;3;6;119;112;111
19LS;;m;10;7H;livret 1;6;6;6;1;6;4;6;5;6;6;6;6;6;3;6;5;1;5;6;4;6;3;6;6;6;6;6;4;3;4;150;129;141
20LS;;m;11;7H;livret 1;6;4;2;1;6;5;6;6;3;6;6;6;6;5;6;6;6;5;6;6;6;6;6;6;4;6;1;6;6;6;156;133;138
21LS;;f;12;7H;livret 1;2;5;6;6;4;4;6;4;5;5;4;6;5;5;6;5;4;6;4;4;6;6;3;5;5;6;4;4;6;3;144;148;144
22LS;;m;11;7H;livret 1;5;6;6;5;6;4;6;5;6;6;6;6;5;5;6;5;5;6;5;6;6;6;6;6;5;6;5;2;4;6;162;156;160
23LS;;m;11;7H;livret 1;6;6;2;4;6;2;6;5;5;6;3;4;6;1;5;2;2;6;6;5;5;2;5;6;6;6;6;3;4;6;137;141;142
